Report_ID,Event_Date,Age,Nature,Establishment,Summary,Degree
0636900,02/03/2015,50,Other,"Strike, Llc","At 11:30 a.m. on February 3, 2015, a mechanic was working on the brakes of a  Lowboy trailer.  The brakes failed, causing the trailer to roll over the  mechanic and crush him to death.",Fatality
0316400,01/10/2015,57,Other,"Snelson Companies, Inc.","At 1:45 p.m. on January 10, 2015, Employee #1, employed by a pipeline  construction services company, was engaged in laying pipe.  He was operating a  Caterpillar 572H Pipe Layer.  He started up the Caterpillar and then stood on  one of the vehicle's tracks.  The vehicle began to roll backwards down a  slope.  Employee #1 was pulled feet first under the side boom frame extending  over the track.  He was pulled into a 6-inch clearance up to his waist.  Employee #1 was killed when his internal organs were crushed.  This fatality  was investigated by West Virginia OSHA.",Fatality
0112300,11/12/2014,45,Bruise/Contus/Abras,"A.G.I. Construction, Inc.","At approximately 1:45 p.m. on November 12, 2014, an employee, a laborer was  preparing a pipe fusion machine. A backhoe was being used to support a pipe  fusion machine (001) which was being prepared for operation at the edge of the  excavation. The backhoe operator was inside the backhoe with the engine  running. The foreman and the employee were working at the side of the trench  preparing the fusion machine. The backhoe was not holding the weight of the  fusing machine but was being used to secure it in case it fell. The employee  was on the right side of the fusion machine attaching the hoses to the  machine. Following this, he attempted to stand up when he was struck by the  arm of the backhoe. The employee was taken to a hospital, where he was  pronounced dead. According to the statement of backhoe operator, he was  attempting to close the rear facing window when his safety vest caught one of  the backhoe control levers, causing the arm top strike the employee.",Fatality
0625700,09/13/2014,58,Other,"Furmanite America, Inc.","At approximately 11:00 a.m. on September 13, 2014, Employees #1 and #2 were  tasked with removing a gear operator from a 12-inch valve on a natural gas  pipeline. The employees removed the gear box and placed it on the platform  deck. They then decided to remove the valve adaptor plate. The gas line was  under pressure. When they were removing the last hex bolt the valve adaptor  plate and valve stem blew off striking Employee #1 and throwing him from the  platform into the Gulf of Mexico. The pressure release threw Employee #2 back  and causing hearing loss.",Fatality
0626600,04/29/2014,35,Dislocation,"Womble Company, Inc.","At approximately 2:55 p.m. on April 29, 2014, Employee #1 was attempting to  straighten pipe on the second layer of a rack that was crooked.  As the pipe  was being straightened, it shifted, falling off of the back of the rack.  Employee #1 was flung into the air and landed on the ground near-by.  Employee  #1 suffered injuries to his face and head and a dislocated shoulder.  Employee  #1 died form the injuries.",Fatality
0751910,03/14/2014,,Other,Michels Pipeline Construction Inc.,"On March 14, 2014, Employee #1 and Coworker #1, employed by a pipeline construction contractor, were engaged in excavation work at a country club. They were removing a load of boring rods from a flatbed trailer. The rods had been transported to the country club parking lot in a semi-trailer, but they then had been transferred to a smaller flatbed trailer, because it was able to navigate the makeshift road to the excavation site. The transfer of the rods had been accomplished using a backhoe with front fork attachments. Upon the flatbed trailer's arrival at the excavation site, Employee #1 and Coworker #1 proceeded to remove the boring rods. The rods, which were 10 feet long and 260 pounds each, were organized into bundles of 10 rods. Each bundle was configured so there were two rows of five rods metal-banded together, with one row on top of the other and planking separating the two rows. Using a trackhoe (excavator), Employee #1 attempted to lift an entire bundle of 10 rods from the trailer without cutting the banding. The load proved to be unstable. He then attempted to cut the banding and remove five rods at a time. This, too, proved to be unstable, so he proceeded to remove one rod at a time. A bundle's lower layer was successfully unloaded on the side of the trailer where the excavator was placed. In preparation for removing the top row from the bundle, Employee #1 cut its banding from the side of the trailer opposite the excavator. With nothing to hold the rods in place, and due to a slight tilt of the trailer, the top layer of five rods began to roll toward Employee #1. Four of the rods fell from the trailer, striking and knocking Employee #1 to the ground. Employee #1 was killed. This fatality was investigated by Iowa OSHA. During its subsequent investigation, it was determined that, at the moment of the fatality, Coworker #2 was located on the opposite side of the trailer, across from Employee #1. The top row of rods was at a height of approximately 4 feet from the ground.",Fatality
0950647,02/11/2014,,Other,"Total-Western, Inc Dba Gene Watson Construction","At approximately 7:00 p.m. on February 11, 2014, an employee was working as a heavy equipment operator for a firm engaged in oilfield construction and maintenance. It had 350 workers. The employee had worked his shift as a heavy equipment operator and was riding in an air-conditioned pickup truck traveling to an offsite meeting. When a coworker who was driving the truck stopped, he noticed that the employee would not wake up. Emergency medical services were contacted, and they responded to the location. The employee was transported by ambulance to Mercy Hospital in Bakersfield, where he was admitted. He died several days later. The employee's supervisor was not present during this incident. The employer notified the Division of the incident at 9:23 a.m. that same day. The Division opened an investigation with the employer on February 20, 2014. The investigation concluded that the employee's medical event was idiopathic in nature and that there was no other cause for the incident. The narrative did not go into further details regarding the nature of the medical event. As a result of the investigation, the Division issued the employer a regulatory citation.",Fatality
0215000,01/13/2014,53,Other,Hallen Construction Co.,"On January 13, 2014, an employee was clearing dirt around a gas main pipe to  expose it for an excavation.  The employee collapsed and died from a heart  attack.",Fatality
0950643,12/04/2013,,Fracture,"Pacific Coast Well Drilling, Inc.","At approximately 7:50 a.m. on December 4, 2013, Employee #1, a driller, and Coworker #1, both employed by Pacific Coast Well Drilling, Inc., were working at an excavation site, assigned to drill a water well. Employee #1 was in the process of breaking out the drill pipe. He put a 60-inch pipe wrench on the pipe below the rotary table. After engaging the rotary table, the pipe wrench rotated, striking Employee #1's right leg and pinning it between the pipe wrench and the rig. Emergency services were called, and the Santa Barbara County Fire Department responded. Employee #1 was transported by ambulance to Marian Medical Center, where he was admitted and treated for a fracture of the right tibia and fibula. His injury required surgery, and he remained hospitalized for five days. Cal/OSHA was notified of this event by the employer at 9:40 a.m. on December 4, 2013, and by the Santa Barbara County Fire Department at 10:25 a.m. on December 4, 2013. Cal/OSHA initiated its investigation at 8:15 a.m. on December 16, 2013. Cal/OSHA conducted interviews with Employee #1, Coworker #1, and the supervisor. Based on its findings, Cal/OSHA issued a Serious Accident Related citation for CCR, Title 8, 6655(d).",Hospitalized injury
0522500,08/29/2013,31,Fracture,Sheehan Pipeline Construction Company ,"At 10:00 a.m. on August 29, 2013, Employee #1 was working at a pipeline  installation construction site, operating a crane down a 12 degree hill,  carrying sections of pipe from the bottom of the hill to the top. Employee #1  was going to pick up another section of pipe when the brakes on the crane that  he was operating failed, causing the crane to slide down the hill. The  employee attempted to jump free from the path of the crane, however, he was  struck by the boom of the crane and was killed.",Fatality
