Event_Date,Report_ID,Summary
12/31/2017,0627700,"At 9:30 a.m. on December 31, 2017, an employee was preparing transport trucks  and trailers for a trip to retrieve oil field equipment.  The employee  assisted with airing the tires on the trucks and trailers as well as loading  pneumatic hand tools with chain straps for securing loaded items.  The  employee was caught in between the trailer beds and grabbed hold of the bumper  or trailer frame when one of the trucks started to move.  The employee fell  from the trailer and was run over by the trailer's tires, crushing him."
12/30/2017,0627700,"At 11:00 a.m. on December 30, 2017, an employee was near a loading station  when a coworker entered a truck to haul off a load of product.  The equipment  operator began mixing the product, swung the machine around, and noticed the  employee's hard hat on the ground in the rearview mirror.  The employee  suffered severe trauma to their head and upper torso and was killed."
12/21/2017,0627700,"At 10:45 a.m. on December 21, 2017, an employee was performing oil and gas  work-over operations while on a drilling derrick.  The employee fell from the  work-over rig when it was struck by a drilling derrick, killing the employee."
11/28/2017,0626300,"At 12:18 p.m. on November 28, 2017, Employee #1 was checking an equipment  malfunction on a high volume separator. The employee fell to the ground and  struck his head. He was hospitalized for his injury."
11/27/2017,0627700,"At 3:15 p.m. on November 27, 2017, Employee #1 was opening a ball valve on a  transducer. The steel piping for the transducer blew out of the flange and  struck the employee in the chest, killing him."
11/27/2017,0626000,"On November 27, 2017, Employee #1 was cleaning the discharge guns in a  trailer. The employee was found unconscious on the ground near the trailer  where he worked after he used the restroom. The cause of death was deemed a  heart attack by the justice of the peace."
11/17/2017,0627510,"At 3:30 p.m. on November 17, 2017, an employee was performing startup of an  oil well.  The pressure from the start-up caused a valve to rupture, striking  the employee. The employee was killed."
11/16/2017,0830500,"At 3:25 p.m. on November 16, 2017, two employees were involved in the removal  of hydrate formation (blockage) in gas piping leaving PDC Energy tank battery,  performing a single side blow down to dislodge hydrate formation.  A hose was  connected to a vac truck off the pig launcher line.  Pressure from the  upstream side of blockage pushed natural gas/NG fluids to the vac truck.  One  of three hatches on top of vac truck tank opened for venting of gases/vapors.  One employee was at pig launcher valve to control flow of gases/liquids to vac  truck.  Flammable gases or vapors were ignited and flash fire resulted.  Three  workers were engulfed in flames. One pickup truck cab and engine compartment  were destroyed.  One employee died on November 22, 207, 6 days after  sustaining burns, and a second employee died January 1, 2018, 46 days after  sustaining burns."
11/15/2017,0830300,"At 5:15 p.m. on November 15, 2017, an employee was working from the platform  of a servicing rig while tripping out pipes from the bore hole of an oil and  gas well. The platform of the rig was approximately 15 feet from ground level  and had a guard rail system with a gate that was open during the operation.  The employee was holding a pipe while on the servicing platform and, when the  pipe was jerked away, the employee was pulled off the platform and fell 15  feet.  The employee suffered multiple fractures to his skull and one of his  legs.  The employee was hospitalized."
11/14/2017,0524530,"At 12:30 p.m. on November 14, 2017, a 3 person crew was returning the well to  service following repairs to a wellbore casing nipple that was performed by a  welding contractor.  A welding contractor repaired a crack on the casing  nipple of the oil well and then departed.  The three person crew had set a  ""packer"" on the oil well to prevent oil and hydrogen sulfide from escaping.  Thirty barrels of salt water was inserted on top of the packer.  After the  crew pulled the ""packer"" out, oil and gas started discharging from the well.  At that time, hydrogen sulfide monitors located in a portable steel structure  used for tools, as a lunchroom, and as an office & referred to as the Doghouse  were activated and an alarm was triggered.  The ""Doghouse"" was located  approximately 60 feet from the well. The crew realized there was a propane  heater with a pilot light burning in the Doghouse. One of the employees ran to  turn off the propane tank outside the structure while another ran inside the  Doghouse.  The wind blew the hydrogen sulfide into the Doghouse which found an  ignition source, presumably the pilot light, and a fire erupted. The employee  was wearing flame retardant clothing; However, due to the intensity of the  fire, it did not prevent injury. The employee died November 16, 2017, as a  result of burn injuries."
